eventdate,series,video,site_name,site_type,starts,siteTypeStarts,nameOfDay,startOfWeek
2019-04-12,Blindspot,A Stray Howl,Dish Anywhere MVPD,MVPD,1757,125919,Friday,2019-04-08
2019-04-12,Blindspot,A Stray Howl,Bravo FireTV App,Watch,1741,401920,Friday,2019-04-08
2019-04-12,Blindspot,A Stray Howl,Bravo Samsung Smart TV App,Watch,1729,401920,Friday,2019-04-08
2019-04-12,Blindspot,A Stray Howl,Bravo Android Tablet Apps,Watch,1637,401920,Friday,2019-04-08
2019-04-12,Blindspot,A Stray Howl,Bravo Android TV App,Watch,1360,401920,Friday,2019-04-08
2019-04-12,Blindspot,A Stray Howl,Bravo Chromecast App,Watch,1148,401920,Friday,2019-04-08
2019-04-12,Blindspot,A Stray Howl,Bravo FEP,Watch,664,401920,Friday,2019-04-08
2019-04-12,Blindspot,A Stray Howl,Bravo Roku App,Watch,625,401920,Friday,2019-04-08
2019-04-12,Blindspot,A Stray Howl,Bravo iPad App,Watch,483,401920,Friday,2019-04-08
2019-04-12,Blindspot,A Stray Howl,Bravo Apple TV App,Watch,280,401920,Friday,2019-04-08
2019-04-12,Blindspot,A Stray Howl,Bravo iPhone App,Watch,262,401920,Friday,2019-04-08
2019-04-08,Blindspot,Eight Slim Grins,Bravo FEP,Watch,1998,401920,Monday,2019-04-08
2019-04-08,Blindspot,Eight Slim Grins,Comcast Xfinity MVPD,MVPD,1983,125919,Monday,2019-04-08
2019-04-07,Blindspot,Eight Slim Grins,Bravo FireTV App,Watch,1967,401920,Sunday,2019-04-01
2019-04-09,Blindspot,Eight Slim Grins,Bravo iPhone App,Watch,1965,401920,Tuesday,2019-04-08
2019-04-03,Blindspot,Eight Slim Grins,Bravo Apple TV App,Watch,1949,401920,Wednesday,2019-04-01
2019-04-10,Blindspot,Eight Slim Grins,Bravo Apple TV App,Watch,1927,401920,Wednesday,2019-04-08
2019-03-31,Blindspot,Eight Slim Grins,Bravo Chromecast App,Watch,1911,401920,Sunday,2019-03-25
2019-03-31,Blindspot,Eight Slim Grins,Dish Anywhere MVPD,MVPD,1898,125919,Sunday,2019-03-25
2019-03-30,Blindspot,Eight Slim Grins,Bravo iPad App,Watch,1886,401920,Saturday,2019-03-25
2019-03-30,Blindspot,Eight Slim Grins,Bravo Android Tablet Apps,Watch,1864,401920,Saturday,2019-03-25
2019-04-04,Blindspot,Eight Slim Grins,Bravo Android TV App,Watch,1835,401920,Thursday,2019-04-01
2019-03-30,Blindspot,Eight Slim Grins,Comcast Xfinity MVPD,MVPD,1830,125919,Saturday,2019-03-25
2019-03-30,Blindspot,Eight Slim Grins,Bravo Samsung Smart TV App,Watch,1828,401920,Saturday,2019-03-25
2019-04-03,Blindspot,Eight Slim Grins,Dish Anywhere MVPD,MVPD,1814,125919,Wednesday,2019-04-01
2019-04-04,Blindspot,Eight Slim Grins,Bravo Android Tablet Apps,Watch,1814,401920,Thursday,2019-04-01
2019-04-11,Blindspot,Eight Slim Grins,SlingTV DMVPD,DMVPD,1801,117071,Thursday,2019-04-08
2019-04-06,Blindspot,Eight Slim Grins,Bravo Android TV App,Watch,1799,401920,Saturday,2019-04-01
2019-03-31,Blindspot,Eight Slim Grins,Bravo iPad App,Watch,1797,401920,Sunday,2019-03-25
2019-04-06,Blindspot,Eight Slim Grins,Hulu Classic,SVOD,1793,72863,Saturday,2019-04-01
2019-03-30,Blindspot,Eight Slim Grins,Hulu Classic,SVOD,1785,72863,Saturday,2019-03-25
2019-03-30,Blindspot,Eight Slim Grins,Bravo FEP,Watch,1783,401920,Saturday,2019-03-25
2019-04-04,Blindspot,Eight Slim Grins,Comcast Xfinity MVPD,MVPD,1782,125919,Thursday,2019-04-01
2019-04-10,Blindspot,Eight Slim Grins,Hulu Plus,SVOD,1775,72863,Wednesday,2019-04-08
2019-04-08,Blindspot,Eight Slim Grins,Bravo iPad App,Watch,1770,401920,Monday,2019-04-08
2019-04-12,Blindspot,Eight Slim Grins,Bravo Android TV App,Watch,1770,401920,Friday,2019-04-08
2019-04-09,Blindspot,Eight Slim Grins,Sony Vue DMVPD,DMVPD,1766,117071,Tuesday,2019-04-08
2019-04-04,Blindspot,Eight Slim Grins,Sony Vue DMVPD,DMVPD,1763,117071,Thursday,2019-04-01
2019-04-05,Blindspot,Eight Slim Grins,Verizon FiOS,MVPD,1750,125919,Friday,2019-04-01
2019-03-29,Blindspot,Eight Slim Grins,Bravo Samsung Smart TV App,Watch,1748,401920,Friday,2019-03-25
2019-04-05,Blindspot,Eight Slim Grins,Bravo FireTV App,Watch,1746,401920,Friday,2019-04-01
2019-03-29,Blindspot,Eight Slim Grins,Bravo Android TV App,Watch,1742,401920,Friday,2019-03-25
2019-03-29,Blindspot,Eight Slim Grins,Bravo FEP,Watch,1728,401920,Friday,2019-03-25
2019-04-06,Blindspot,Eight Slim Grins,Bravo Android Tablet Apps,Watch,1726,401920,Saturday,2019-04-01
2019-04-09,Blindspot,Eight Slim Grins,DirecTV Now DMVPD,DMVPD,1720,117071,Tuesday,2019-04-08
2019-04-01,Blindspot,Eight Slim Grins,Comcast Xfinity MVPD,MVPD,1694,125919,Monday,2019-04-01
2019-04-09,Blindspot,Eight Slim Grins,Bravo Samsung Smart TV App,Watch,1675,401920,Tuesday,2019-04-08
2019-03-31,Blindspot,Eight Slim Grins,Bravo Samsung Smart TV App,Watch,1673,401920,Sunday,2019-03-25
2019-04-10,Blindspot,Eight Slim Grins,Bravo iPhone App,Watch,1660,401920,Wednesday,2019-04-08
2019-04-10,Blindspot,Eight Slim Grins,Bravo Roku App,Watch,1655,401920,Wednesday,2019-04-08
2019-04-08,Blindspot,Eight Slim Grins,Hulu Plus,SVOD,1647,72863,Monday,2019-04-08
2019-04-07,Blindspot,Eight Slim Grins,Bravo FEP,Watch,1631,401920,Sunday,2019-04-01
2019-04-10,Blindspot,Eight Slim Grins,Bravo Chromecast App,Watch,1619,401920,Wednesday,2019-04-08
2019-04-02,Blindspot,Eight Slim Grins,Bravo FEP,Watch,1612,401920,Tuesday,2019-04-01
2019-04-07,Blindspot,Eight Slim Grins,Bravo iPad App,Watch,1611,401920,Sunday,2019-04-01
2019-04-12,Blindspot,Eight Slim Grins,Bravo Apple TV App,Watch,1606,401920,Friday,2019-04-08
2019-04-12,Blindspot,Eight Slim Grins,YouTube TV,DMVPD,1606,117071,Friday,2019-04-08
2019-04-10,Blindspot,Eight Slim Grins,Bravo Android Tablet Apps,Watch,1603,401920,Wednesday,2019-04-08
2019-04-01,Blindspot,Eight Slim Grins,DirecTV Now DMVPD,DMVPD,1601,117071,Monday,2019-04-01
2019-04-10,Blindspot,Eight Slim Grins,Bravo iPad App,Watch,1595,401920,Wednesday,2019-04-08
2019-04-11,Blindspot,Eight Slim Grins,Bravo Apple TV App,Watch,1594,401920,Thursday,2019-04-08
2019-04-10,Blindspot,Eight Slim Grins,Dish Anywhere MVPD,MVPD,1592,125919,Wednesday,2019-04-08
2019-04-03,Blindspot,Eight Slim Grins,Comcast Xfinity MVPD,MVPD,1589,125919,Wednesday,2019-04-01
2019-04-11,Blindspot,Eight Slim Grins,Bravo Roku App,Watch,1587,401920,Thursday,2019-04-08
2019-04-10,Blindspot,Eight Slim Grins,DirecTV Now DMVPD,DMVPD,1583,117071,Wednesday,2019-04-08
2019-04-01,Blindspot,Eight Slim Grins,Verizon FiOS,MVPD,1579,125919,Monday,2019-04-01
2019-04-09,Blindspot,Eight Slim Grins,Dish Anywhere MVPD,MVPD,1561,125919,Tuesday,2019-04-08
2019-04-09,Blindspot,Eight Slim Grins,Bravo Roku App,Watch,1561,401920,Tuesday,2019-04-08
2019-04-06,Blindspot,Eight Slim Grins,Sony Vue DMVPD,DMVPD,1559,117071,Saturday,2019-04-01
2019-04-05,Blindspot,Eight Slim Grins,Bravo iPad App,Watch,1553,401920,Friday,2019-04-01
2019-03-30,Blindspot,Eight Slim Grins,Bravo Android TV App,Watch,1551,401920,Saturday,2019-03-25
2019-04-02,Blindspot,Eight Slim Grins,Bravo Samsung Smart TV App,Watch,1550,401920,Tuesday,2019-04-01
2019-04-07,Blindspot,Eight Slim Grins,Bravo Android Tablet Apps,Watch,1541,401920,Sunday,2019-04-01
2019-04-10,Blindspot,Eight Slim Grins,DirecTV Everywhere MVPD,MVPD,1534,125919,Wednesday,2019-04-08
2019-03-29,Blindspot,Eight Slim Grins,Bravo Android Tablet Apps,Watch,1533,401920,Friday,2019-03-25
2019-04-03,Blindspot,Eight Slim Grins,Bravo Roku App,Watch,1504,401920,Wednesday,2019-04-01
2019-04-08,Blindspot,Eight Slim Grins,Bravo Chromecast App,Watch,1500,401920,Monday,2019-04-08
2019-04-05,Blindspot,Eight Slim Grins,Bravo Roku App,Watch,1486,401920,Friday,2019-04-01
2019-04-05,Blindspot,Eight Slim Grins,Bravo iPhone App,Watch,1483,401920,Friday,2019-04-01
2019-04-04,Blindspot,Eight Slim Grins,Bravo Roku App,Watch,1479,401920,Thursday,2019-04-01
2019-04-12,Blindspot,Eight Slim Grins,Bravo iPad App,Watch,1476,401920,Friday,2019-04-08
2019-04-05,Blindspot,Eight Slim Grins,SlingTV DMVPD,DMVPD,1471,117071,Friday,2019-04-01
2019-03-29,Blindspot,Eight Slim Grins,Bravo FireTV App,Watch,1471,401920,Friday,2019-03-25
2019-03-30,Blindspot,Eight Slim Grins,Bravo Roku App,Watch,1465,401920,Saturday,2019-03-25
2019-04-05,Blindspot,Eight Slim Grins,DirecTV Now DMVPD,DMVPD,1458,117071,Friday,2019-04-01
2019-04-09,Blindspot,Eight Slim Grins,Hulu Plus,SVOD,1458,72863,Tuesday,2019-04-08
2019-04-04,Blindspot,Eight Slim Grins,YouTube TV,DMVPD,1457,117071,Thursday,2019-04-01
2019-04-01,Blindspot,Eight Slim Grins,Hulu Plus,SVOD,1454,72863,Monday,2019-04-01
2019-04-09,Blindspot,Eight Slim Grins,Bravo Android Tablet Apps,Watch,1453,401920,Tuesday,2019-04-08
2019-04-06,Blindspot,Eight Slim Grins,Hulu Plus,SVOD,1449,72863,Saturday,2019-04-01
2019-04-04,Blindspot,Eight Slim Grins,Bravo Apple TV App,Watch,1447,401920,Thursday,2019-04-01
2019-03-29,Blindspot,Eight Slim Grins,Comcast Xfinity MVPD,MVPD,1444,125919,Friday,2019-03-25
2019-04-08,Blindspot,Eight Slim Grins,Hulu Classic,SVOD,1443,72863,Monday,2019-04-08
2019-04-05,Blindspot,Eight Slim Grins,Bravo Chromecast App,Watch,1433,401920,Friday,2019-04-01
2019-04-03,Blindspot,Eight Slim Grins,Bravo Android TV App,Watch,1430,401920,Wednesday,2019-04-01
2019-04-03,Blindspot,Eight Slim Grins,Bravo FEP,Watch,1429,401920,Wednesday,2019-04-01
2019-04-12,Blindspot,Eight Slim Grins,DirecTV Now DMVPD,DMVPD,1419,117071,Friday,2019-04-08
2019-03-31,Blindspot,Eight Slim Grins,Bravo Android Tablet Apps,Watch,1416,401920,Sunday,2019-03-25
2019-04-02,Blindspot,Eight Slim Grins,Bravo Roku App,Watch,1416,401920,Tuesday,2019-04-01
2019-04-11,Blindspot,Eight Slim Grins,Bravo Android TV App,Watch,1408,401920,Thursday,2019-04-08
2019-04-06,Blindspot,Eight Slim Grins,DirecTV Everywhere MVPD,MVPD,1405,125919,Saturday,2019-04-01
2019-04-06,Blindspot,Eight Slim Grins,Comcast Xfinity MVPD,MVPD,1403,125919,Saturday,2019-04-01
2019-04-10,Blindspot,Eight Slim Grins,Sony Vue DMVPD,DMVPD,1395,117071,Wednesday,2019-04-08
2019-04-02,Blindspot,Eight Slim Grins,Bravo iPad App,Watch,1375,401920,Tuesday,2019-04-01
2019-04-07,Blindspot,Eight Slim Grins,Hulu Classic,SVOD,1368,72863,Sunday,2019-04-01
2019-04-09,Blindspot,Eight Slim Grins,DirecTV Everywhere MVPD,MVPD,1358,125919,Tuesday,2019-04-08
2019-04-11,Blindspot,Eight Slim Grins,Bravo iPhone App,Watch,1358,401920,Thursday,2019-04-08
2019-04-08,Blindspot,Eight Slim Grins,DirecTV Everywhere MVPD,MVPD,1353,125919,Monday,2019-04-08
2019-04-02,Blindspot,Eight Slim Grins,Sony Vue DMVPD,DMVPD,1349,117071,Tuesday,2019-04-01
